Retailer,State,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Year,Order Month
Foot Locker,Iowa,Women's Street Footwear,40.0,225,9000,2700,In-store,2021,2021-08
Foot Locker,Iowa,Women's Apparel,40.0,225,9000,3600,In-store,2021,2021-09
West Gear,Wisconsin,Women's Street Footwear,10.0,225,2250,675,In-store,2021,2021-03
West Gear,Wisconsin,Women's Apparel,20.0,225,4500,1800,In-store,2021,2021-03
West Gear,Wisconsin,Women's Street Footwear,40.0,225,9000,2700,In-store,2021,2021-07
West Gear,Wisconsin,Women's Street Footwear,40.0,225,9000,2700,In-store,2021,2021-08
West Gear,Wisconsin,Men's Athletic Footwear,35.0,225,7875,2756,In-store,2021,2021-10
West Gear,Wisconsin,Women's Athletic Footwear,35.0,225,7875,2363,In-store,2021,2021-11
West Gear,Indiana,Men's Athletic Footwear,25.0,225,5625,2250,In-store,2021,2021-03
West Gear,Indiana,Women's Street Footwear,35.0,225,7875,2756,In-store,2021,2021-05
West Gear,Indiana,Women's Street Footwear,40.0,225,9000,3150,In-store,2021,2021-08
West Gear,Indiana,Women's Apparel,40.0,225,9000,3600,In-store,2021,2021-09
West Gear,West Virginia,Men's Apparel,40.0,225,9000,3600,In-store,2021,2021-03
West Gear,West Virginia,Women's Athletic Footwear,25.0,225,5625,2250,In-store,2021,2021-09
West Gear,West Virginia,Men's Apparel,35.0,225,7875,3150,In-store,2021,2021-09
Foot Locker,West Virginia,Men's Athletic Footwear,35.0,225,7875,2756,In-store,2021,2021-01
Foot Locker,West Virginia,Women's Street Footwear,25.0,225,5625,1969,In-store,2021,2021-01
Foot Locker,West Virginia,Women's Apparel,35.0,225,7875,2363,In-store,2021,2021-01
West Gear,Maryland,Women's Apparel,35.0,225,7875,2363,In-store,2021,2021-02
Foot Locker,Maryland,Men's Athletic Footwear,40.0,225,9000,3150,In-store,2021,2021-02
Foot Locker,Delaware,Men's Athletic Footwear,40.0,225,9000,3150,In-store,2021,2021-04
Foot Locker,Delaware,Women's Street Footwear,30.0,225,6750,2700,In-store,2021,2021-04
Kohl's,Delaware,Women's Street Footwear,25.0,225,5625,2250,In-store,2021,2021-02
Kohl's,New Jersey,Women's Street Footwear,25.0,225,5625,2250,In-store,2021,2021-03
Kohl's,New Jersey,Women's Apparel,35.0,225,7875,3150,In-store,2021,2021-03
Sports Direct,Connecticut,Men's Athletic Footwear,40.0,225,9000,3600,In-store,2021,2021-03
Foot Locker,Connecticut,Men's Athletic Footwear,35.0,225,7875,2756,In-store,2021,2021-01
Foot Locker,Connecticut,Women's Street Footwear,25.0,225,5625,2250,In-store,2021,2021-01
Foot Locker,Connecticut,Women's Apparel,35.0,225,7875,3150,In-store,2021,2021-01
Foot Locker,Rhode Island,Women's Apparel,35.0,225,7875,3150,In-store,2021,2021-02
Foot Locker,Rhode Island,Women's Street Footwear,40.0,225,9000,3600,In-store,2021,2021-06
Amazon,Vermont,Women's Street Footwear,35.0,225,7875,2756,In-store,2021,2021-04
Walmart,New York,Women's Athletic Footwear,54.0,225,1215,559,Online,2020,2020-05
Sports Direct,New York,Men's Athletic Footwear,34.0,225,765,375,Online,2020,2020-07
Sports Direct,Texas,Men's Athletic Footwear,38.0,225,855,385,Online,2020,2020-08
Walmart,Texas,Women's Street Footwear,33.0,225,743,356,Online,2020,2020-08
Walmart,Texas,Women's Apparel,46.0,225,1035,673,Online,2020,2020-09
West Gear,California,Men's Athletic Footwear,64.0,225,1440,518,Online,2021,2021-01
West Gear,California,Women's Street Footwear,52.0,225,1170,468,Online,2021,2021-01
Kohl's,California,Men's Street Footwear,34.0,225,765,405,Online,2021,2021-03
Kohl's,California,Men's Athletic Footwear,47.0,225,1058,370,Online,2021,2021-04
Kohl's,California,Men's Street Footwear,49.0,225,1103,562,Online,2021,2021-05
Foot Locker,Florida,Men's Athletic Footwear,42.0,225,945,454,Online,2020,2020-08
Foot Locker,Florida,Women's Apparel,42.0,225,945,605,Online,2020,2020-08
West Gear,Florida,Men's Athletic Footwear,57.0,225,1283,590,Online,2020,2020-09
Foot Locker,Florida,Men's Apparel,52.0,225,1170,527,Online,2020,2020-09
Sports Direct,Florida,Women's Street Footwear,41.0,225,923,341,Online,2020,2020-09
Sports Direct,Tennessee,Women's Apparel,61.0,225,1373,1016,Online,2021,2021-05
Sports Direct,Alabama,Men's Street Footwear,38.0,225,855,522,Online,2021,2021-09
Sports Direct,Alabama,Men's Athletic Footwear,58.0,225,1305,835,Online,2021,2021-10
Walmart,Florida,Men's Athletic Footwear,88.0,225,1980,792,Online,2021,2021-07
Foot Locker,Virginia,Men's Street Footwear,60.0,225,1350,635,Online,2021,2021-12
Foot Locker,Virginia,Men's Athletic Footwear,74.0,225,1665,749,Online,2021,2021-12
Sports Direct,Michigan,Men's Street Footwear,57.0,225,1283,770,Online,2021,2021-07
Sports Direct,Michigan,Men's Street Footwear,49.0,225,1103,673,Online,2021,2021-10
West Gear,Oregon,Men's Street Footwear,51.0,225,1148,562,Online,2021,2021-06
Foot Locker,South Carolina,Men's Apparel,51.0,225,1148,528,Online,2021,2021-08
Foot Locker,South Carolina,Women's Apparel,56.0,225,1260,819,Online,2021,2021-10
Foot Locker,South Carolina,Women's Athletic Footwear,53.0,225,1193,501,Online,2021,2021-11
Sports Direct,South Carolina,Men's Apparel,66.0,225,1485,668,Online,2021,2021-12
Amazon,North Carolina,Women's Apparel,69.0,225,1553,1009,Online,2021,2021-12
Amazon,Ohio,Men's Street Footwear,50.0,225,1125,608,Online,2021,2021-09
Foot Locker,Kentucky,Men's Street Footwear,28.0,225,630,328,Online,2021,2021-02
West Gear,California,Women's Street Footwear,46.0,225,1035,455,Outlet,2021,2021-01
West Gear,California,Women's Apparel,58.0,225,1305,300,Outlet,2021,2021-01
West Gear,California,Men's Apparel,43.0,225,968,464,Outlet,2021,2021-01
Kohl's,California,Men's Athletic Footwear,35.0,225,788,236,Outlet,2021,2021-04
Sports Direct,Texas,Men's Street Footwear,31.0,225,698,300,Outlet,2021,2021-10
Sports Direct,Tennessee,Women's Apparel,49.0,225,1103,695,Outlet,2021,2021-05
Sports Direct,Alabama,Men's Street Footwear,30.0,225,675,324,Outlet,2021,2021-08
Sports Direct,Alabama,Women's Apparel,56.0,225,1260,907,Outlet,2021,2021-10
Foot Locker,Virginia,Men's Athletic Footwear,54.0,225,1215,498,Outlet,2021,2021-12
West Gear,Oregon,Men's Street Footwear,51.0,225,1148,482,Outlet,2021,2021-12
Kohl's,California,Men's Street Footwear,49.0,224,1098,549,Online,2021,2021-05
Sports Direct,Texas,Women's Apparel,43.0,224,963,626,Online,2021,2021-09
Sports Direct,Texas,Men's Street Footwear,41.0,224,918,413,Online,2021,2021-09
Sports Direct,Florida,Men's Athletic Footwear,49.0,224,1098,527,Online,2020,2020-10
Sports Direct,Florida,Women's Street Footwear,46.0,224,1030,381,Online,2020,2020-10
Kohl's,Wyoming,Men's Street Footwear,52.0,224,1165,711,Online,2021,2021-12
West Gear,Utah,Men's Street Footwear,34.0,224,762,396,Online,2021,2021-07
Sports Direct,North Carolina,Men's Athletic Footwear,58.0,224,1299,650,Online,2021,2021-07
Sports Direct,Texas,Women's Apparel,25.0,224,560,314,Outlet,2020,2020-07
Sports Direct,Texas,Women's Street Footwear,23.0,224,515,216,Outlet,2020,2020-08
Walmart,Texas,Women's Athletic Footwear,28.0,224,627,326,Outlet,2020,2020-08
West Gear,California,Women's Athletic Footwear,41.0,224,918,377,Outlet,2021,2021-01
West Gear,California,Women's Apparel,46.0,224,1030,124,Outlet,2021,2021-02
Kohl's,California,Men's Street Footwear,26.0,224,582,250,Outlet,2021,2021-02
Kohl's,California,Men's Athletic Footwear,35.0,224,784,235,Outlet,2021,2021-02
Kohl's,California,Men's Apparel,38.0,224,851,511,Outlet,2021,2021-04
Kohl's,California,Women's Apparel,51.0,224,1142,263,Outlet,2021,2021-04
Kohl's,California,Women's Athletic Footwear,35.0,224,784,314,Outlet,2021,2021-05
Sports Direct,Alabama,Men's Street Footwear,7.0,224,157,74,Outlet,2021,2021-08
Walmart,Florida,Men's Athletic Footwear,53.0,224,1187,344,Outlet,2021,2021-06
Foot Locker,Virginia,Men's Athletic Footwear,60.0,224,1344,511,Outlet,2021,2021-07
West Gear,Louisiana,Men's Athletic Footwear,55.0,224,1232,554,Outlet,2021,2021-06
West Gear,Louisiana,Men's Athletic Footwear,35.0,224,784,368,Outlet,2021,2021-11
Kohl's,New Mexico,Men's Street Footwear,37.0,224,829,323,Outlet,2021,2021-06
Kohl's,New Mexico,Men's Street Footwear,40.0,224,896,332,Outlet,2021,2021-08
Amazon,New Hampshire,Men's Street Footwear,49.0,224,1098,461,Outlet,2021,2021-07
West Gear,California,Men's Street Footwear,37.0,223,825,413,Online,2020,2020-11
Sports Direct,Texas,Men's Street Footwear,59.0,223,1316,710,Online,2021,2021-10
Sports Direct,Florida,Women's Apparel,55.0,223,1227,773,Online,2020,2020-09
Sports Direct,Florida,Women's Apparel,59.0,223,1316,855,Online,2020,2020-10
Sports Direct,Tennessee,Women's Apparel,52.0,223,1160,812,Online,2021,2021-04
Walmart,Florida,Men's Street Footwear,61.0,223,1360,612,Online,2021,2021-06
Foot Locker,South Carolina,Men's Athletic Footwear,48.0,223,1070,514,Online,2021,2021-09
West Gear,California,Women's Athletic Footwear,42.0,223,937,290,Outlet,2021,2021-02
Kohl's,California,Women's Street Footwear,33.0,223,736,309,Outlet,2021,2021-03
Kohl's,California,Women's Athletic Footwear,36.0,223,803,305,Outlet,2021,2021-05
Kohl's,California,Women's Street Footwear,35.0,223,781,359,Outlet,2021,2021-05
Sports Direct,Tennessee,Men's Athletic Footwear,21.0,223,468,229,Outlet,2021,2021-05
Foot Locker,Louisiana,Men's Street Footwear,14.0,223,312,106,Outlet,2021,2021-01
Sports Direct,Idaho,Men's Athletic Footwear,28.0,223,624,268,Outlet,2021,2021-11
Foot Locker,Idaho,Women's Street Footwear,47.0,223,1048,461,Outlet,2021,2021-12
Sports Direct,Georgia,Men's Athletic Footwear,39.0,223,870,409,Outlet,2021,2021-12
Foot Locker,Mississippi,Men's Street Footwear,20.0,223,446,205,Outlet,2021,2021-03
Foot Locker,Mississippi,Men's Street Footwear,19.0,223,424,186,Outlet,2021,2021-04
Kohl's,California,Men's Athletic Footwear,51.0,221,1127,451,Online,2021,2021-05
Foot Locker,Washington,Men's Athletic Footwear,41.0,221,906,444,Online,2020,2020-08
Foot Locker,Florida,Women's Apparel,41.0,221,906,589,Online,2020,2020-08
Foot Locker,Mississippi,Men's Street Footwear,58.0,221,1282,654,Online,2021,2021-07
Walmart,Texas,Men's Apparel,29.0,221,641,205,Outlet,2020,2020-08
West Gear,California,Men's Apparel,50.0,221,1105,519,Outlet,2021,2021-02
Kohl's,California,Women's Street Footwear,33.0,221,729,335,Outlet,2021,2021-03
Kohl's,California,Men's Athletic Footwear,34.0,221,751,225,Outlet,2021,2021-04
Kohl's,California,Women's Athletic Footwear,33.0,221,729,306,Outlet,2021,2021-05
Sports Direct,Tennessee,Men's Street Footwear,20.0,221,442,190,Outlet,2021,2021-03
West Gear,Florida,Men's Athletic Footwear,36.0,221,796,318,Outlet,2021,2021-01
West Gear,Florida,Women's Apparel,35.0,221,774,425,Outlet,2021,2021-01
Foot Locker,Virginia,Men's Athletic Footwear,45.0,221,995,408,Outlet,2021,2021-06
Foot Locker,Virginia,Men's Athletic Footwear,34.0,221,751,278,Outlet,2021,2021-11
West Gear,Oregon,Women's Street Footwear,66.0,221,1459,613,Outlet,2021,2021-07
West Gear,Louisiana,Men's Apparel,73.0,221,1613,791,Outlet,2021,2021-07
Walmart,Arkansas,Men's Street Footwear,35.0,221,774,333,Outlet,2021,2021-09
Foot Locker,Kansas,Women's Street Footwear,25.0,220,5500,1925,Online,2021,2021-11
West Gear,Iowa,Women's Street Footwear,35.0,220,7700,2310,In-store,2021,2021-11
West Gear,California,Women's Apparel,72.0,219,1577,552,Online,2021,2021-01
West Gear,California,Men's Athletic Footwear,59.0,219,1292,375,Online,2021,2021-01
Foot Locker,Florida,Women's Apparel,64.0,219,1402,883,Online,2020,2020-05
Foot Locker,South Carolina,Men's Athletic Footwear,58.0,219,1270,572,Online,2021,2021-12
West Gear,Texas,Women's Athletic Footwear,35.0,219,767,276,Outlet,2020,2020-11
Kohl's,California,Men's Apparel,43.0,219,942,584,Outlet,2021,2021-05
Sports Direct,Texas,Men's Athletic Footwear,29.0,219,635,298,Outlet,2021,2021-10
Sports Direct,Tennessee,Men's Athletic Footwear,23.0,219,504,196,Outlet,2021,2021-03
Sports Direct,Tennessee,Women's Apparel,30.0,219,657,407,Outlet,2021,2021-05
West Gear,Louisiana,Men's Street Footwear,28.0,219,613,288,Outlet,2021,2021-11
Sports Direct,Idaho,Men's Athletic Footwear,38.0,219,832,358,Outlet,2021,2021-09
Foot Locker,Mississippi,Women's Apparel,51.0,219,1117,592,Outlet,2021,2021-06
West Gear,California,Women's Street Footwear,60.0,218,1308,667,Online,2021,2021-01
West Gear,California,Women's Athletic Footwear,55.0,218,1199,480,Online,2021,2021-01
West Gear,California,Men's Apparel,63.0,218,1373,797,Online,2021,2021-01
Kohl's,California,Women's Street Footwear,47.0,218,1025,533,Online,2021,2021-04
Kohl's,California,Women's Street Footwear,48.0,218,1046,534,Online,2021,2021-05
Sports Direct,Texas,Men's Athletic Footwear,37.0,218,807,403,Online,2021,2021-10
West Gear,Nevada,Men's Street Footwear,58.0,218,1264,670,Online,2020,2020-02
Foot Locker,Florida,Men's Apparel,53.0,218,1155,555,Online,2020,2020-08
Sports Direct,Tennessee,Men's Athletic Footwear,23.0,218,501,251,Online,2021,2021-04
Foot Locker,Hawaii,Men's Athletic Footwear,71.0,218,1548,526,Online,2021,2021-08
West Gear,New York,Women's Apparel,55.0,218,1199,719,Online,2021,2021-08
Kohl's,Wyoming,Men's Street Footwear,53.0,218,1155,705,Online,2021,2021-11
West Gear,Missouri,Men's Street Footwear,25.0,218,545,289,Online,2021,2021-02
West Gear,Oregon,Men's Athletic Footwear,72.0,218,1570,738,Online,2021,2021-12
West Gear,Idaho,Women's Apparel,42.0,218,916,577,Online,2021,2021-05
Foot Locker,Georgia,Men's Athletic Footwear,39.0,218,850,391,Online,2021,2021-02
Foot Locker,South Carolina,Women's Athletic Footwear,47.0,218,1025,461,Online,2021,2021-06
Amazon,North Carolina,Women's Street Footwear,55.0,218,1199,611,Online,2021,2021-12
Amazon,Ohio,Men's Street Footwear,28.0,218,610,336,Online,2021,2021-04
Sports Direct,Texas,Men's Athletic Footwear,27.0,218,589,265,Outlet,2021,2021-10
Sports Direct,Alabama,Men's Athletic Footwear,16.0,218,349,171,Outlet,2021,2021-08
Sports Direct,Georgia,Men's Street Footwear,37.0,218,807,371,Outlet,2021,2021-07
West Gear,Texas,Women's Street Footwear,46.0,217,998,449,Online,2020,2020-11
West Gear,California,Women's Apparel,65.0,217,1411,339,Online,2021,2021-01
West Gear,Washington,Men's Street Footwear,80.0,217,1736,781,Online,2020,2020-07
Foot Locker,Florida,Women's Street Footwear,32.0,217,694,243,Online,2020,2020-08
West Gear,Florida,Women's Athletic Footwear,47.0,217,1020,408,Online,2020,2020-09
Sports Direct,Tennessee,Men's Street Footwear,36.0,217,781,398,Online,2021,2021-04
West Gear,New York,Men's Street Footwear,56.0,217,1215,668,Online,2021,2021-11
West Gear,Idaho,Men's Street Footwear,48.0,217,1042,521,Online,2021,2021-07
Foot Locker,Georgia,Women's Street Footwear,29.0,217,629,233,Online,2021,2021-02
Walmart,Texas,Men's Apparel,33.0,217,716,258,Outlet,2020,2020-08
Kohl's,California,Women's Street Footwear,36.0,217,781,328,Outlet,2021,2021-03
Sports Direct,Alabama,Women's Street Footwear,47.0,217,1020,551,Outlet,2021,2021-10
West Gear,Oregon,Men's Athletic Footwear,66.0,217,1432,587,Outlet,2021,2021-07
West Gear,Louisiana,Women's Street Footwear,50.0,217,1085,456,Outlet,2021,2021-08
Kohl's,New Mexico,Men's Athletic Footwear,47.0,217,1020,479,Outlet,2021,2021-12
Foot Locker,New York,Women's Athletic Footwear,43.0,216,929,464,Online,2020,2020-01
Walmart,Texas,Men's Athletic Footwear,43.0,216,929,437,Online,2020,2020-09
Kohl's,California,Men's Street Footwear,32.0,216,691,346,Online,2021,2021-03
Kohl's,California,Men's Athletic Footwear,46.0,216,994,378,Online,2021,2021-04
Walmart,Florida,Men's Street Footwear,72.0,216,1555,622,Online,2021,2021-12
Kohl's,New York,Men's Street Footwear,39.0,216,842,531,Online,2021,2021-01
Sports Direct,Michigan,Men's Street Footwear,34.0,216,734,448,Online,2021,2021-03
West Gear,Louisiana,Men's Athletic Footwear,72.0,216,1555,778,Online,2021,2021-12
Foot Locker,South Carolina,Women's Apparel,34.0,216,734,477,Online,2021,2021-02
West Gear,California,Men's Athletic Footwear,51.0,216,1102,275,Outlet,2020,2020-12
West Gear,Nevada,Men's Street Footwear,47.0,216,1015,376,Outlet,2020,2020-03
Foot Locker,Arizona,Men's Street Footwear,40.0,216,864,320,Outlet,2021,2021-07
Walmart,Mississippi,Men's Street Footwear,24.0,216,518,238,Outlet,2021,2021-10
Amazon,New Hampshire,Men's Street Footwear,44.0,216,950,437,Outlet,2021,2021-06
Foot Locker,New York,Men's Apparel,56.0,215,1204,506,Online,2020,2020-02
Kohl's,California,Men's Athletic Footwear,54.0,215,1161,441,Online,2021,2021-05
Sports Direct,Texas,Men's Athletic Footwear,48.0,215,1032,557,Online,2021,2021-09
West Gear,Florida,Women's Street Footwear,50.0,215,1075,398,Online,2020,2020-09
Sports Direct,Florida,Men's Athletic Footwear,47.0,215,1011,455,Online,2020,2020-09
Sports Direct,Tennessee,Men's Street Footwear,36.0,215,774,441,Online,2021,2021-04
Sports Direct,Alabama,Men's Athletic Footwear,49.0,215,1054,674,Online,2021,2021-09
Sports Direct,South Carolina,Women's Street Footwear,56.0,215,1204,421,Online,2021,2021-12
Sports Direct,North Carolina,Men's Street Footwear,44.0,215,946,520,Online,2021,2021-11
Walmart,Mississippi,Men's Street Footwear,56.0,215,1204,650,Online,2021,2021-08
Walmart,Texas,Women's Athletic Footwear,30.0,215,645,310,Outlet,2020,2020-09
Kohl's,California,Men's Athletic Footwear,30.0,215,645,200,Outlet,2021,2021-03
Kohl's,California,Women's Street Footwear,36.0,215,774,348,Outlet,2021,2021-04
Sports Direct,Texas,Men's Athletic Footwear,23.0,215,495,178,Outlet,2021,2021-08
Sports Direct,Texas,Women's Street Footwear,30.0,215,645,252,Outlet,2021,2021-09
Sports Direct,Alabama,Men's Street Footwear,15.0,215,323,168,Outlet,2021,2021-08
Foot Locker,Virginia,Women's Street Footwear,53.0,215,1140,422,Outlet,2021,2021-08
West Gear,Oregon,Women's Street Footwear,50.0,215,1075,430,Outlet,2021,2021-08
West Gear,Idaho,Men's Street Footwear,15.0,215,323,135,Outlet,2021,2021-04
West Gear,Idaho,Men's Athletic Footwear,21.0,215,452,176,Outlet,2021,2021-04
Sports Direct,Mississippi,Men's Street Footwear,17.0,215,366,161,Outlet,2021,2021-01
Amazon,Vermont,Men's Street Footwear,42.0,215,903,461,Outlet,2021,2021-08
Sports Direct,Texas,Men's Street Footwear,23.0,213,490,245,Online,2020,2020-07
Walmart,Texas,Men's Athletic Footwear,41.0,213,873,402,Online,2020,2020-09
Walmart,Texas,Women's Apparel,50.0,213,1065,682,Online,2020,2020-09
Kohl's,California,Men's Street Footwear,47.0,213,1001,541,Online,2021,2021-05
Sports Direct,Florida,Women's Apparel,64.0,213,1363,818,Online,2020,2020-10
Walmart,Florida,Men's Street Footwear,87.0,213,1853,760,Online,2021,2021-08
Sports Direct,Texas,Women's Athletic Footwear,26.0,213,554,277,Outlet,2020,2020-07
Sports Direct,Texas,Women's Athletic Footwear,28.0,213,596,286,Outlet,2020,2020-08
Kohl's,California,Women's Athletic Footwear,33.0,213,703,295,Outlet,2021,2021-05
Sports Direct,Texas,Men's Street Footwear,30.0,213,639,281,Outlet,2021,2021-10
Sports Direct,Tennessee,Men's Athletic Footwear,33.0,213,703,330,Outlet,2021,2021-04
Sports Direct,Alabama,Women's Street Footwear,47.0,213,1001,561,Outlet,2021,2021-09
Foot Locker,Arizona,Men's Athletic Footwear,33.0,213,703,323,Outlet,2021,2021-12
Sports Direct,New York,Women's Street Footwear,33.0,210,693,319,Online,2020,2020-07
Walmart,Texas,Women's Athletic Footwear,36.0,210,756,454,Online,2020,2020-08
Walmart,Texas,Women's Apparel,53.0,210,1113,690,Online,2020,2020-09
West Gear,California,Men's Athletic Footwear,49.0,210,1029,319,Online,2020,2020-11
West Gear,California,Women's Apparel,54.0,210,1134,306,Online,2020,2020-12
West Gear,California,Women's Street Footwear,64.0,210,1344,672,Online,2020,2020-12
West Gear,California,Women's Athletic Footwear,59.0,210,1239,607,Online,2021,2021-01
West Gear,California,Women's Street Footwear,50.0,210,1050,420,Online,2021,2021-02
West Gear,California,Women's Athletic Footwear,53.0,210,1113,445,Online,2021,2021-02
Kohl's,California,Women's Athletic Footwear,49.0,210,1029,515,Online,2021,2021-05
West Gear,Nevada,Men's Street Footwear,62.0,210,1302,690,Online,2020,2020-02
West Gear,Washington,Men's Athletic Footwear,77.0,210,1617,631,Online,2020,2020-07
Foot Locker,Florida,Men's Athletic Footwear,41.0,210,861,431,Online,2020,2020-04
Sports Direct,Florida,Women's Athletic Footwear,42.0,210,882,379,Online,2020,2020-09
Sports Direct,Florida,Men's Apparel,50.0,210,1050,525,Online,2020,2020-09
Sports Direct,Montana,Men's Street Footwear,18.0,210,378,189,Online,2021,2021-03
Sports Direct,Tennessee,Women's Street Footwear,54.0,210,1134,624,Online,2021,2021-05
Sports Direct,Alabama,Men's Athletic Footwear,52.0,210,1092,710,Online,2021,2021-09
Foot Locker,Hawaii,Men's Street Footwear,67.0,210,1407,563,Online,2021,2021-06
Foot Locker,Hawaii,Men's Street Footwear,79.0,210,1659,614,Online,2021,2021-08
Walmart,Florida,Women's Street Footwear,80.0,210,1680,722,Online,2021,2021-06
West Gear,New York,Men's Athletic Footwear,55.0,210,1155,520,Online,2021,2021-08
Sports Direct,Michigan,Women's Apparel,62.0,210,1302,898,Online,2021,2021-07
West Gear,Louisiana,Men's Athletic Footwear,65.0,210,1365,710,Online,2021,2021-06
West Gear,Louisiana,Men's Athletic Footwear,42.0,210,882,459,Online,2021,2021-11
Foot Locker,Idaho,Men's Street Footwear,46.0,210,966,531,Online,2021,2021-08
Kohl's,New Mexico,Men's Street Footwear,55.0,210,1155,531,Online,2021,2021-12
Foot Locker,South Carolina,Men's Athletic Footwear,32.0,210,672,329,Online,2021,2021-03
Foot Locker,South Carolina,Women's Street Footwear,41.0,210,861,319,Online,2021,2021-05
Foot Locker,South Carolina,Women's Athletic Footwear,39.0,210,819,328,Online,2021,2021-09
Sports Direct,North Carolina,Women's Street Footwear,54.0,210,1134,601,Online,2021,2021-08
Sports Direct,North Carolina,Women's Apparel,72.0,210,1512,968,Online,2021,2021-11
Amazon,Ohio,Men's Street Footwear,36.0,210,756,393,Online,2021,2021-10
Foot Locker,Mississippi,Men's Street Footwear,44.0,210,924,480,Online,2021,2021-06
Walmart,Arkansas,Men's Street Footwear,55.0,210,1155,624,Online,2021,2021-08
Sports Direct,New York,Women's Athletic Footwear,27.0,210,567,295,Outlet,2020,2020-07
Walmart,Texas,Women's Athletic Footwear,36.0,210,756,393,Outlet,2020,2020-10
West Gear,California,Women's Apparel,33.0,210,693,152,Outlet,2020,2020-11
West Gear,California,Women's Street Footwear,47.0,210,987,415,Outlet,2020,2020-11
West Gear,California,Women's Street Footwear,42.0,210,882,291,Outlet,2021,2021-02
West Gear,California,Women's Athletic Footwear,37.0,210,777,225,Outlet,2021,2021-02
Kohl's,California,Women's Apparel,29.0,210,609,140,Outlet,2021,2021-03
Kohl's,California,Men's Athletic Footwear,34.0,210,714,207,Outlet,2021,2021-04
Kohl's,California,Women's Street Footwear,38.0,210,798,359,Outlet,2021,2021-05
Kohl's,California,Women's Apparel,49.0,210,1029,226,Outlet,2021,2021-05
Kohl's,California,Men's Apparel,46.0,210,966,599,Outlet,2021,2021-05
Sports Direct,Texas,Men's Athletic Footwear,21.0,210,441,176,Outlet,2021,2021-08
Sports Direct,Texas,Women's Apparel,22.0,210,462,263,Outlet,2021,2021-09
Sports Direct,Tennessee,Women's Street Footwear,44.0,210,924,471,Outlet,2021,2021-05
Sports Direct,Alabama,Women's Athletic Footwear,31.0,210,651,391,Outlet,2021,2021-09
Foot Locker,Virginia,Men's Apparel,72.0,210,1512,650,Outlet,2021,2021-07
West Gear,Louisiana,Women's Street Footwear,55.0,210,1155,508,Outlet,2021,2021-06
West Gear,Louisiana,Women's Street Footwear,69.0,210,1449,681,Outlet,2021,2021-07
West Gear,Idaho,Men's Street Footwear,14.0,210,294,123,Outlet,2021,2021-05
Sports Direct,Idaho,Women's Street Footwear,42.0,210,882,370,Outlet,2021,2021-11
Kohl's,New Mexico,Men's Athletic Footwear,45.0,210,945,406,Outlet,2021,2021-07
Sports Direct,Mississippi,Men's Street Footwear,17.0,210,357,161,Outlet,2021,2021-02
West Gear,Texas,Men's Street Footwear,37.0,209,773,348,Online,2020,2020-11
Sports Direct,Florida,Women's Athletic Footwear,54.0,209,1129,485,Online,2020,2020-05
Foot Locker,Idaho,Men's Athletic Footwear,51.0,209,1066,576,Online,2021,2021-12
Foot Locker,South Carolina,Women's Apparel,39.0,209,815,514,Online,2021,2021-04
Foot Locker,South Carolina,Women's Street Footwear,47.0,209,982,354,Online,2021,2021-06
West Gear,Nevada,Men's Athletic Footwear,50.0,209,1045,261,Outlet,2020,2020-03
Sports Direct,Tennessee,Men's Street Footwear,40.0,209,836,418,Outlet,2021,2021-04
Foot Locker,Louisiana,Men's Athletic Footwear,20.0,209,418,150,Outlet,2021,2021-01
Sports Direct,Georgia,Men's Street Footwear,39.0,209,815,375,Outlet,2021,2021-08
Sports Direct,Georgia,Men's Street Footwear,42.0,209,878,413,Outlet,2021,2021-12
Foot Locker,Georgia,Women's Athletic Footwear,25.0,209,523,183,Outlet,2021,2021-01
Walmart,Mississippi,Women's Apparel,49.0,209,1024,543,Outlet,2021,2021-07
Amazon,Vermont,Men's Street Footwear,45.0,209,941,489,Outlet,2021,2021-07
West Gear,California,Women's Apparel,67.0,208,1394,321,Online,2021,2021-02
Kohl's,California,Men's Street Footwear,41.0,208,853,443,Online,2021,2021-04
Sports Direct,Texas,Men's Street Footwear,49.0,208,1019,520,Online,2021,2021-09
Sports Direct,Texas,Men's Athletic Footwear,53.0,208,1102,551,Online,2021,2021-09
West Gear,Florida,Women's Apparel,44.0,208,915,549,Online,2020,2020-04
West Gear,Florida,Women's Street Footwear,49.0,208,1019,357,Online,2020,2020-09
West Gear,Florida,Men's Apparel,61.0,208,1269,622,Online,2020,2020-09
Foot Locker,Hawaii,Men's Street Footwear,74.0,208,1539,570,Online,2021,2021-07
West Gear,New York,Men's Street Footwear,57.0,208,1186,676,Online,2021,2021-10
Kohl's,Wyoming,Men's Street Footwear,39.0,208,811,503,Online,2021,2021-04
Kohl's,Wyoming,Men's Street Footwear,48.0,208,998,639,Online,2021,2021-09
Foot Locker,Idaho,Women's Apparel,64.0,208,1331,919,Online,2021,2021-07
Foot Locker,South Carolina,Men's Athletic Footwear,42.0,208,874,437,Online,2021,2021-10
Walmart,Texas,Men's Apparel,30.0,208,624,225,Outlet,2020,2020-10
Kohl's,California,Women's Apparel,32.0,208,666,173,Outlet,2021,2021-03
Kohl's,California,Women's Apparel,46.0,208,957,220,Outlet,2021,2021-05
Kohl's,California,Women's Street Footwear,33.0,208,686,288,Outlet,2021,2021-05
Kohl's,California,Women's Apparel,46.0,208,957,230,Outlet,2021,2021-05
